x,y,theta,v,x_ref,y_ref,theta_ref
-0.164493,2.600055,10.395260,1.000000,3.852566,-3.187120,7.162831
-0.192738,2.558797,10.412400,1.000000,3.902152,-3.126213,7.178539
-0.220272,2.517061,10.429539,1.000000,3.950775,-3.064535,7.194247
-0.247087,2.474860,10.446676,1.000000,3.998423,-3.002101,7.209955
-0.273174,2.432205,10.463813,1.000000,4.045085,-2.938926,7.225663
-0.298527,2.389109,10.480948,1.000000,4.090749,-2.875026,7.241371
-0.323137,2.345585,10.498082,1.000000,4.135403,-2.810417,7.257079
-0.346998,2.301646,10.515214,1.000000,4.179037,-2.745114,7.272787
-0.370103,2.257305,10.532345,1.000000,4.221640,-2.679134,7.288495
-0.392445,2.212574,10.549476,1.000000,4.263201,-2.612493,7.304203
-0.414018,2.167467,10.566604,1.000000,4.303710,-2.545207,7.319911
-0.434814,2.121997,10.583732,1.000000,4.343158,-2.477293,7.335619
-0.454829,2.076178,10.600858,1.000000,4.381533,-2.408768,7.351327
-0.474057,2.030023,10.617983,1.000000,4.418828,-2.339649,7.367035
-0.492491,1.983545,10.635107,1.000000,4.455033,-2.269952,7.382743
-0.510126,1.936758,10.652230,1.000000,4.490138,-2.199696,7.398451
-0.526958,1.889677,10.669351,1.000000,4.524135,-2.128896,7.414159
-0.542982,1.842314,10.686471,1.000000,4.557016,-2.057572,7.429867
-0.558192,1.794683,10.703590,1.000000,4.588773,-1.985739,7.445575
-0.572585,1.746800,10.720707,1.000000,4.619398,-1.913417,7.461283
-0.586155,1.698677,10.737824,1.000000,4.648882,-1.840623,7.476991
-0.598901,1.650328,10.754939,1.000000,4.677220,-1.767374,7.492698
-0.610817,1.601769,10.772052,1.000000,4.704404,-1.693690,7.508406
-0.621900,1.553013,10.789165,1.000000,4.730427,-1.619587,7.524114
-0.632147,1.504074,10.806276,1.000000,4.755283,-1.545085,7.539822
-0.641556,1.454967,10.823386,1.000000,4.778965,-1.470202,7.555530
